run_id,scenario,window_start,window_end,throughput_mbps,pdr_percent,avg_delay_s,tx_packets,rx_packets,rx_bytes,udp_rx_in_window,udp_expected_in_window,udp_loss_percent,overhead_ratio,hello_count,olsr_control_bytes_with_hello,path_hops_internal,min_attacker_trust,avg_attacker_trust,blacklist_max_size,mac_tx_in_window,mac_drop_in_window,mac_tx_total,mac_drop_total
9,baseline,120.000000,160.000000,0.001944,100.000000,0.030801,18,18,9720,18,18,0.000000,25.380658,1000,246700,6,1.000000,1.000000,0,1685,0,6246,0
9,attack_only,220.000000,260.000000,0.000000,0.000000,0.000000,18,0,0,0,18,100.000000,0.000000,1000,247660,6,1.000000,1.000000,0,1671,0,10337,0
9,defense_only,320.000000,360.000000,0.001944,100.000000,0.021402,18,18,9720,18,18,0.000000,25.693827,1000,249744,6,1.000000,1.000000,0,1689,0,14380,0
9,defense_vs_attack,420.000000,460.000000,0.000000,0.000000,0.000000,18,0,0,0,18,100.000000,0.000000,1000,251044,6,1.000000,1.000000,0,2007,0,18762,0
8,baseline,120.000000,160.000000,0.001944,100.000000,0.026592,18,18,9720,18,18,0.000000,26.978601,1000,262232,5,1.000000,1.000000,0,1759,0,6650,0
8,attack_only,220.000000,260.000000,0.001944,100.000000,0.009911,18,18,9720,18,18,0.000000,26.887654,1000,261348,5,1.000000,1.000000,0,1752,0,10909,0
8,defense_only,320.000000,360.000000,0.001944,100.000000,0.021841,18,18,9720,18,18,0.000000,27.152675,1000,263924,5,1.000000,1.000000,0,1783,0,15211,0
8,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.012529,18,18,9720,18,18,0.000000,27.030864,1000,262740,5,1.000000,1.000000,0,1783,0,19521,0
2,baseline,120.000000,160.000000,0.001944,100.000000,0.026630,18,18,9720,18,18,0.000000,30.764198,1000,299028,5,1.000000,1.000000,0,1781,0,6609,0
2,attack_only,220.000000,260.000000,0.001944,100.000000,0.009892,18,18,9720,18,18,0.000000,30.661728,1000,298032,5,1.000000,1.000000,0,1737,0,10796,0
2,defense_only,320.000000,360.000000,0.001944,100.000000,0.021978,18,18,9720,18,18,0.000000,31.053909,1000,301844,5,1.000000,1.000000,0,1764,0,15065,0
2,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.012114,18,18,9720,18,18,0.000000,30.471193,1000,296180,5,1.000000,1.000000,0,1722,0,19237,0
